experiment_id	omics_type	condition_2	cell_line	strain	entrez_id	symbol	q_value	log2fc
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2805	GOT1	0.955605	-0.0739525
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2806	GOT2	0.97807	0.0389716
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2941	GSTA4	0.996601	0.00217061
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2944	GSTM1	0.97362	-0.0921129
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2946	GSTM2	0.947247	0.189817
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2947	GSTM3	0.99685	0.00661014
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2948	GSTM4	0.929064	0.104282
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	2950	GSTP1	0.528408	0.326752
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	3939	LDHA	0.975121	-0.038687
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	3945	LDHB	0.885564	-0.125912
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	3948	LDHC	0.904153	-0.354763
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4257	MGST1	0.985372	-0.0274612
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4258	MGST2	0.946088	0.0856273
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4259	MGST3	0.999463	0.000147583
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4353	MPO	0.959321	-0.146487
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4548	MTR	0.84335	-0.160226
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4837	NNMT	1	1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4860	PNP	0.512584	-0.334485
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	4942	OAT	0.735656	-0.215382
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	5625	PRODH	1	0.154145
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	5723	PSPH	0.98757	-0.027682
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	5831	PYCR1	1	0.086328
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	6301	SARS	0.987043	-0.0239047
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	6389	SDHA	0.943806	-0.0782187
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	6390	SDHB	0.986946	0.0234116
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	6470	SHMT1	0.991107	0.051191
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	6472	SHMT2	0.996025	-0.00748436
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	8528	DDO	0.947024	0.0849756
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	8639	AOC3	1	-0.0200179
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	8658	TNKS	0.866642	-0.162678
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	8659	ALDH4A1	0.960161	0.0621185
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	9380	GRHPR	0.912618	0.115441
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	9446	GSTO1	0.981714	-0.0301099
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	9517	SPTLC2	0.953505	0.0768708
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10038	PARP2	0.987959	-0.0318575
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10039	PARP3	0.994718	0.0130479
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10135	NAMPT	0.574253	0.298115
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10247	RIDA	0.955112	-0.0976592
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10606	PAICS	0.980582	-0.040129
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10768	AHCYL1	0.855636	-0.149654
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	10993	SDS	0.99568	-0.00882343
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	23382	AHCYL2	0.943446	-0.0938475
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	23408	SIRT5	0.973476	0.0607756
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	23411	SIRT1	0.512289	-0.387674
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	25976	TIPARP	0.0113996	0.956385
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	27306	HPGDS	0.998106	0.00289803
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	29920	PYCR2	0.979768	0.0375196
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	51547	SIRT7	0.951783	-0.09404
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	51548	""	0.486782	0.604307
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	54625	PARP14	0.344647	0.428979
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	54938	SARS2	0.947054	0.14868
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	54956	PARP16	0.975606	0.07151
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	55157	DARS2	0.89081	-0.133464
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	55304	SPTLC3	1	-0.169565
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	56267	KYAT3	0.932407	-0.142912
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	56829	ZC3HAV1	0.000533703	2.09721
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	56965	PARP6	0.93289	0.0984762
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	57097	PARP11	0.957071	-0.0898307
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	64761	PARP12	0.882929	0.131634
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	65263	PYCR3	0.881881	0.24541
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	79668	PARP8	0.908106	0.120185
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	80150	ASRGL1	0.997981	0.00381537
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	80351	TNKS2	0.979806	-0.033577
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	81490	PTDSS2	0.799692	0.266908
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	81889	FAHD1	0.87808	-0.158155
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	83666	PARP9	0.133756	0.934539
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	84875	PARP10	0.188743	0.619386
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	93100	NAPRT	0.561599	0.472139
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	112849	L3HYPDH	0.953283	-0.152764
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	113675	SDSL	0.970738	-0.0560575
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	119391	GSTO2	0.57663	0.981405
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	122622	ADSSL1	1	-0.185374
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	132158	GLYCTK	0.992913	-0.0221531
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	165631	PARP15	0.978625	0.0907181
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	259307	IL4I1	0.65821	1.0619
mdmH5N1rna-MDM	RNAseq	H5N1_03H	MDM	H5	373156	GSTK1	0.991384	-0.0155416
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	97	ACYP1	0.60811	0.674149
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	98	ACYP2	0.327935	0.646672
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	128	ADH5	0.842372	0.153819
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	142	PARP1	0.104726	-0.731883
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	143	PARP4	0.446766	-0.368593
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	158	ADSL	0.853987	0.168292
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	159	ADSS	0.617949	-0.300027
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	175	AGA	1	-1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	175	AGA	0.982825	-0.0357016
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	191	AHCY	0.893472	-0.120572
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	217	ALDH2	0.819255	0.167177
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	219	ALDH1B1	0.724635	0.339949
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	223	ALDH9A1	0.807104	-0.175821
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	224	ALDH3A2	0.931621	0.0885541
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	314	AOC2	1	1.45677
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	440	ASNS	0.709741	0.552899
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	445	ASS1	1	-1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	501	ALDH7A1	0.917647	0.137186
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	683	BST1	0.338225	0.653126
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	875	CBS	0.986977	0.0334893
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	883	KYAT1	0.949472	0.178374
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	952	CD38	0.394941	6.92554
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	1066	CES1	0.309044	0.50127
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	1066	CES1	0.389565	-0.447682
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	1491	CTH	0.940456	-0.194276
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	1583	CYP11A1	1	1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	1615	DARS	0.936414	-0.085397
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2184	FAH	0.214293	0.57937
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2271	FH	0.413298	-0.391072
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2805	GOT1	0.584896	-0.342231
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2806	GOT2	0.957043	0.0648767
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2941	GSTA4	0.325997	1.17213
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2944	GSTM1	0.529875	0.661518
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2946	GSTM2	0.392558	1.03905
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2947	GSTM3	0.428719	0.511627
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2948	GSTM4	0.100225	0.744134
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	2950	GSTP1	0.17748	0.578522
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	3939	LDHA	0.990201	0.0167026
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	3945	LDHB	0.246158	0.509813
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	3948	LDHC	0.541951	1.84401
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4257	MGST1	0.13194	0.644799
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4258	MGST2	0.0465437	0.847917
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4259	MGST3	0.123817	0.631423
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4353	MPO	0.0537604	1.7287
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4548	MTR	0.0838908	-0.755193
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4837	NNMT	1	0
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4860	PNP	0.032307	-0.821535
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	4942	OAT	0.958519	-0.0603168
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	5625	PRODH	1	1.05134
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	5723	PSPH	0.361358	0.51991
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	5831	PYCR1	1	0.417485
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	6301	SARS	0.561599	-0.31133
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	6389	SDHA	0.272212	-0.483194
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	6390	SDHB	0.174391	0.556147
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	6470	SHMT1	0.918665	0.457057
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	6472	SHMT2	0.485366	-0.377106
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	8528	DDO	0.776163	0.220455
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	8639	AOC3	1	0.361994
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	8658	TNKS	0.000533703	-1.7363
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	8659	ALDH4A1	0.35024	-0.461902
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	9380	GRHPR	0.213971	0.576435
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	9446	GSTO1	0.996671	-0.00592587
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	9517	SPTLC2	0.226366	0.593397
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10038	PARP2	0.379105	-0.695897
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10039	PARP3	0.301131	0.687802
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10135	NAMPT	0.000533703	1.77944
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10247	RIDA	0.168347	0.909569
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10606	PAICS	0.520003	0.383466
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10768	AHCYL1	0.510072	-0.340913
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	10993	SDS	0.742594	-0.266598
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	23382	AHCYL2	0.8143	0.210747
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	23408	SIRT5	0.697909	0.347515
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	23411	SIRT1	0.000533703	-3.28334
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	25976	TIPARP	0.968051	-0.049986
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	27306	HPGDS	0.0430611	0.84338
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	29920	PYCR2	0.683953	0.259321
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	51547	SIRT7	0.00530301	-1.75647
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	51548	""	0.392015	-0.698311
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	54625	PARP14	0.000533703	1.58251
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	54938	SARS2	0.964164	-0.127316
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	54956	PARP16	0.127264	-1.4542
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	55157	DARS2	0.398456	-0.42227
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	55304	SPTLC3	1	-1.03463
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	56267	KYAT3	0.401672	0.696694
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	56829	ZC3HAV1	0.000533703	3.72903
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	56965	PARP6	0.224823	0.570854
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	57097	PARP11	0.326813	0.607832
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	64761	PARP12	0.289063	0.467536
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	65263	PYCR3	0.944902	0.150995
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	79668	PARP8	0.0700317	0.831478
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	80150	ASRGL1	0.192285	0.692304
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	80351	TNKS2	0.986924	-0.0248419
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	81490	PTDSS2	0.972141	0.0640378
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	81889	FAHD1	0.490679	-0.408088
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	83666	PARP9	0.000533703	2.57665
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	84875	PARP10	0.000533703	1.55785
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	93100	NAPRT	0.966905	0.0799307
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	112849	L3HYPDH	0.836272	-0.386108
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	113675	SDSL	0.991107	-0.0194925
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	119391	GSTO2	0.971157	0.115956
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	122622	ADSSL1	1	1.33094
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	132158	GLYCTK	0.655882	-0.508364
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	165631	PARP15	0.0058821	2.62703
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	259307	IL4I1	0.767282	0.865562
mdmH5N1rna-MDM	RNAseq	H5N1_06H	MDM	H5	373156	GSTK1	0.091216	0.679559
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	97	ACYP1	0.473844	0.67337
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	98	ACYP2	0.0878118	0.963983
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	128	ADH5	0.343409	-0.44201
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	142	PARP1	0.000533703	-2.38154
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	143	PARP4	0.000533703	-1.33009
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	158	ADSL	0.844604	-0.181795
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	159	ADSS	0.192285	-0.610221
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	175	AGA	1	-1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	175	AGA	0.647233	-0.336323
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	191	AHCY	0.647582	-0.261537
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	217	ALDH2	0.944885	0.074989
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	219	ALDH1B1	0.338225	-0.733581
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	223	ALDH9A1	0.319447	-0.44743
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	224	ALDH3A2	0.141567	-0.599055
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	314	AOC2	0.0243767	3.61797
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	440	ASNS	0.292278	1.18702
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	445	ASS1	1	3.78899
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	501	ALDH7A1	0.449933	0.536156
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	683	BST1	0.441638	0.590256
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	875	CBS	0.988611	0.0291467
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	883	KYAT1	0.669303	0.628798
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	952	CD38	0.312325	6.5663
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	1066	CES1	0.921356	0.112317
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	1066	CES1	0.346774	-0.493956
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	1491	CTH	0.0399907	2.25288
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	1583	CYP11A1	1	1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	1615	DARS	0.0116339	-1.02652
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2184	FAH	0.00501409	1.1713
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2271	FH	0.000533703	-1.38472
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2805	GOT1	0.0203587	-1.19904
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2806	GOT2	0.713249	-0.243841
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2941	GSTA4	0.15994	1.98365
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2944	GSTM1	0.097517	1.83811
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2946	GSTM2	0.404023	1.07493
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2947	GSTM3	0.0272677	1.12406
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2948	GSTM4	0.03413	0.941554
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	2950	GSTP1	0.00560143	1.01632
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	3939	LDHA	0.452033	-0.365555
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	3945	LDHB	0.108557	0.65815
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	3948	LDHC	0.480292	4.36812
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4257	MGST1	0.0623305	0.774225
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4258	MGST2	0.00213374	1.33714
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4259	MGST3	0.0429297	0.791397
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4353	MPO	0.00178025	3.59879
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4548	MTR	0.0167079	-1.01249
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4837	NNMT	1	0
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4860	PNP	0.820368	0.166277
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	4942	OAT	0.44593	0.364077
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	5625	PRODH	1	-1.797693134e+308
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	5723	PSPH	0.878862	-0.164022
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	5831	PYCR1	1	-0.22658
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	6301	SARS	0.0553284	-0.788148
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	6389	SDHA	0.000533703	-1.3801
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	6390	SDHB	0.0711432	0.719066
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	6470	SHMT1	0.836865	-1.03719
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	6472	SHMT2	0.0058821	-1.22294
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	8528	DDO	0.972141	-0.050099
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	8639	AOC3	0.0487932	2.13039
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	8658	TNKS	0.10595	-0.768896
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	8659	ALDH4A1	0.0155792	-1.02158
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	9380	GRHPR	0.990211	-0.0190454
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	9446	GSTO1	0.287968	-0.476423
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	9517	SPTLC2	0.00699753	1.12495
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10038	PARP2	0.0221968	-1.80773
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10039	PARP3	0.120093	1.00616
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10135	NAMPT	0.000533703	3.22554
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10247	RIDA	0.0450979	1.2281
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10606	PAICS	0.920974	-0.119693
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10768	AHCYL1	0.0517308	-0.77995
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	10993	SDS	0.854846	0.174029
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	23382	AHCYL2	0.274409	0.567351
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	23408	SIRT5	0.993981	-0.0140632
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	23411	SIRT1	0.368017	0.51416
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	25976	TIPARP	0.000533703	1.29529
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	27306	HPGDS	0.0041183	1.13389
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	29920	PYCR2	0.940597	-0.0879444
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	51547	SIRT7	0.00379684	-1.72464
mdmH5N1rna-MDM	RNAseq	H5N1_12H	MDM	H5	51548	""	0.00501409	-2.20467
